Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
3	REAC	REAC:R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	1.525998242032241e-49	True	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	132	97	40	10022	0.4123711340206185	0.303030303030303	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
1	GO:CC	GO:0000781	chromosome, telomeric region	8.924227406196871e-49	True	"""The end of a linear chromosome, required for the integrity and maintenance of the end. A chromosome telomere usually includes a region of telomerase-encoded repeats the length of which rarely exceeds 20 bp each and that permits the formation of a telomeric loop (T-loop). The telomeric repeat region is usually preceded by a sub-telomeric region that is gene-poor but rich in repetitive elements. Some telomeres only consist of the latter part (for eg. D. melanogaster telomeres)."" [GOC:elh]"	167	100	38	16420	0.38	0.2275449101796407	query_1	['GO:0098687']	['ACD', 'RPA4', 'NBN', 'MSH2', 'ATRX', 'TP53BP1', 'RAD50', 'TERF2', 'XRCC6', 'TERF2IP', 'LIG4', 'FEN1', 'H2AX', 'RPA2', 'TERF1', 'TINF2', 'BRCA2', 'PCNA', 'TNKS2', 'POT1', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'DCLRE1B', 'APEX1', 'CDK2', 'PRKDC', 'XRCC1', 'POLD1', 'WRN', 'TNKS', 'RNF8']
4	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	1.819911823363281e-46	True	HDR through Homologous Recombination (HRR)	68	97	32	10022	0.3298969072164948	0.4705882352941176	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'POLD3', 'RAD50', 'POLD4', 'RPA2', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2']
5	REAC	REAC:R-HSA-9675135	Diseases of DNA repair	1.4622142262793333e-45	True	Diseases of DNA repair	50	97	29	10022	0.2989690721649484	0.58	query_1	['REAC:R-HSA-1643685']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'MLH1', 'RPA2', 'MSH3', 'BRCA2', 'RAD1', 'RPA3', 'PMS2', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'NEIL1', 'MSH6']
2	GO:CC	GO:0005654	nucleoplasm	2.838833738454878e-45	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	100	92	16420	0.92	0.0230115057528764	query_1	['GO:0031981', 'GO:0110165']	['RBBP8', 'HUS1', 'ACD', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MDM2', 'MSH2', 'RNF146', 'ATRX', 'TP53BP1', 'POLD3', 'RAD50', 'TERF2', 'FANCI', 'RAD52', 'PTEN', 'LIG3', 'XRCC6', 'HLTF', 'TERF2IP', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'TERF1', 'POLE4', 'TINF2', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'RPA3', 'CHD1L', 'POT1', 'PMS2', 'PARP1', 'DAXX', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'USP2', 'POLD1', 'BARD1', 'POLB', 'WRN', 'MDM4', 'RMI2', 'TNKS', 'POLE2', 'RMI1', 'TRIM27', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
6	GO:BP	GO:0000723	telomere maintenance	4.188522808072873e-45	True	"""Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins, the length of telomeric DNA and the replication and repair of the DNA. These processes includes those that shorten, lengthen, replicate and repair the telomeric DNA sequences."" [GOC:BHF, GOC:BHF_telomere, GOC:elh, GOC:rl, PMID:11092831]"	156	100	36	15719	0.36	0.2307692307692307	query_1	['GO:0006259', 'GO:0032200']	['HUS1', 'ACD', 'NBN', 'ATRX', 'RAD50', 'TERF2', 'XRCC6', 'TERF2IP', 'FEN1', 'RPA2', 'TERF1', 'TINF2', 'BRCA2', 'PCNA', 'RPA3', 'TNKS2', 'POT1', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'USP7', 'DCLRE1B', 'APEX1', 'HUS1B', 'EXO1', 'PRKDC', 'XRCC1', 'WRN', 'TNKS', 'PNKP']
7	GO:BP	GO:0006260	DNA replication	6.618079954948263e-44	True	"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]"	272	100	41	15719	0.41	0.150735294117647	query_1	['GO:0006259']	['RBBP8', 'RPA4', 'NBN', 'ATRX', 'POLD3', 'RAD50', 'TERF2', 'LIG3', 'LIG4', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'TERF1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'POLA2', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'POLE', 'POLD2']
3	GO:CC	GO:0031981	nuclear lumen	1.3155893013427164e-43	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	100	93	16420	0.93	0.0213793103448275	query_1	['GO:0005634', 'GO:0070013']	['RBBP8', 'HUS1', 'ACD', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MDM2', 'MSH2', 'RNF146', 'ATRX', 'TP53BP1', 'POLD3', 'RAD50', 'TERF2', 'FANCI', 'RAD52', 'PTEN', 'LIG3', 'XRCC6', 'HLTF', 'TERF2IP', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'TERF1', 'POLE4', 'TINF2', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'RPA3', 'CHD1L', 'POT1', 'PMS2', 'PARP1', 'DAXX', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'USP2', 'POLD1', 'BARD1', 'POLB', 'WRN', 'MDM4', 'RMI2', 'TNKS', 'POLE2', 'RMI1', 'TRIM27', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
8	GO:BP	GO:0006261	DNA-templated DNA replication	2.9641993656728353e-43	True	"""A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands."" [GOC:mah, ISBN:0198506732]"	157	100	35	15719	0.35	0.2229299363057325	query_1	['GO:0006260']	['RBBP8', 'RPA4', 'NBN', 'ATRX', 'POLD3', 'RAD50', 'TERF2', 'LIG3', 'FEN1', 'POLD4', 'LIG1', 'TERF1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'POLA2', 'POLD1', 'BARD1', 'POLB', 'WRN', 'POLE2', 'PNKP', 'POLE', 'POLD2']
9	GO:BP	GO:0032200	telomere organization	3.853207309195233e-42	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of telomeres, terminal regions of a linear chromosome that include the telomeric DNA repeats and associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	187	100	36	15719	0.36	0.1925133689839572	query_1	['GO:0051276']	['HUS1', 'ACD', 'NBN', 'ATRX', 'RAD50', 'TERF2', 'XRCC6', 'TERF2IP', 'FEN1', 'RPA2', 'TERF1', 'TINF2', 'BRCA2', 'PCNA', 'RPA3', 'TNKS2', 'POT1', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'USP7', 'DCLRE1B', 'APEX1', 'HUS1B', 'EXO1', 'PRKDC', 'XRCC1', 'WRN', 'TNKS', 'PNKP']
6	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	1.4733884328454486e-41	True	HDR through Single Strand Annealing (SSA)	37	97	25	10022	0.2577319587628865	0.6756756756756757	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RAD52', 'RPA2', 'RAD1', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
10	GO:BP	GO:0090304	nucleic acid metabolic process	4.689251580102326e-41	True	"""Any cellular metabolic process involving nucleic acids."" [GOC:dph, GOC:tb]"	4735	100	95	15719	0.95	0.0200633579725448	query_1	['GO:0006139', 'GO:0043170']	['RBBP8', 'HUS1', 'ACD', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MDM2', 'MSH2', 'ATRX', 'TP53BP1', 'POLD3', 'RAD50', 'TERF2', 'FANCI', 'RAD52', 'PTEN', 'LIG3', 'XRCC6', 'HLTF', 'TERF2IP', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'TERF1', 'POLE4', 'TINF2', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'RPA3', 'TNKS2', 'CHD1L', 'POT1', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'USP2', 'POLD1', 'BARD1', 'POLB', 'WRN', 'MDM4', 'RMI2', 'TNKS', 'POLE2', 'RMI1', 'TRIM27', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
11	GO:BP	GO:0051276	chromosome organization	7.647716489727898e-40	True	"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	620	100	49	15719	0.49	0.0790322580645161	query_1	['GO:0006996']	['HUS1', 'ACD', 'BRIP1', 'XPA', 'NBN', 'MSH2', 'ATRX', 'RAD50', 'TERF2', 'XRCC6', 'TERF2IP', 'LIG4', 'MLH1', 'FEN1', 'RPA2', 'MSH3', 'TERF1', 'TINF2', 'BRCA2', 'PCNA', 'RPA3', 'TNKS2', 'CHD1L', 'POT1', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'CDK2', 'PRKDC', 'XRCC1', 'WRN', 'RMI2', 'TNKS', 'TP53', 'PNKP']
12	GO:BP	GO:0051052	regulation of DNA metabolic process	2.2580362438383717e-39	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	517	100	46	15719	0.46	0.0889748549323017	query_1	['GO:0006259', 'GO:0019219', 'GO:0060255']	['RBBP8', 'ACD', 'NBN', 'MSH2', 'ATRX', 'TP53BP1', 'RAD50', 'TERF2', 'RAD52', 'LIG3', 'TERF2IP', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'TERF1', 'TINF2', 'PCNA', 'TNKS2', 'POT1', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'USP7', 'PRIM2', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'BARD1', 'WRN', 'RMI2', 'TNKS', 'TP53', 'PNKP', 'RNF8', 'MSH6']
